# List of algae, fungi, and plant species included into the Red Data Book of Ukraine
# this tsv file assembled from GBIF checklist dataset, see citation
# Prylutskyi O, Marushchak O, Vasyliuk O (2023). List of algae, fungi, and plant species included into the Red Data Book of Ukraine. Version 1.1. Ukrainian Nature Conservation Group (NGO). Checklist dataset https://doi.org/10.15468/x2knyk accessed via GBIF.org on 2024-03-13. 
# ----------------------------------------------------------------------------------
vernacularName	scientificName	kingdom	phylum	class	genus	taxonRank	threatStatus
Кладостефус жорстковолосистий	Cladostephus hirsutus (L.) C.-F. Boudouresque & M.Perret-Boudouresque	Chromista	Ochrophyta	Phaeophyceae	Cladostephus	species	рідкісний
Діктиота дихотомічна	Dictyota dichotoma (Huds.) J.V. Lamour.	Chromista	Ochrophyta	Phaeophyceae	Dictyota	species	вразливий
Ектокарпус стручкуватий	Ectocarpus siliculosus (Dillw.) Lyngb. var. hiemalis (P.Crouan & H.Crouan ex Kjellman) Gallardo  (Crouan ex Kjellm.) Gallardo	Chromista	Ochrophyta	Phaeophyceae	Ectocarpus	varietas	вразливий
Галоптеріс мітлоподібний	Halopteris scoparia (L.) Sauv	Chromista	Ochrophyta	Phaeophyceae	Halopteris	species	рідкісний
Планосифон зостеролистий	Planosiphon zosterifolius (Reinke) McDevit & G.W.Saunders	Chromista	Ochrophyta	Phaeophyceae	Planosiphon	species	вразливий
Пунктарія широколиста	Punctaria latifolia Grev.	Chromista	Ochrophyta	Phaeophyceae	Punctaria	species	рідкісний
Пунктарія хвиляста	Punctaria tenuissima (C. Agardh) Grev.	Chromista	Ochrophyta	Phaeophyceae	Punctaria	species	рідкісний
Пілайєла прибережна	Pylaiella littoralis (L.) Kjellm.	Chromista	Ochrophyta	Phaeophyceae	Pylaiella	species	рідкісний
Сперматохнус особливий	Spermatochnus paradoxus (Roth) Kutz.	Chromista	Ochrophyta	Phaeophyceae	Spermatochnus	species	вразливий
Сфацелярія карликова	Sphacelaria nana Nageli ex Kutz.	Chromista	Ochrophyta	Phaeophyceae	Sphacelaria	species	вразливий
Стилофора ніжна	Stilophora tenella (Esper) P.C. Silva	Chromista	Ochrophyta	Phaeophyceae	Stilophora	species	вразливий
Вошерія прибережна	Vaucheria litorea Hoffm.-Bang. & C. Agardh	Chromista	Ochrophyta	Xanthophyceae	Vaucheria	species	рідкісний
Роччела водоростеподібна	Roccella phycopsis (Ach.) Ach.	Fungi	Ascomycota	Arthoniomycetes	Roccella	species	рідкісний
Псороглена біаторова	Psoroglaena biatorella (Arnold) Lucking & Serus.	Fungi	Ascomycota	Eurotiomycetes	Psoroglaena	species	зникаючий
Агрестія щетиниста	Agrestia hispida (Mereschk.) Hale & W. Culb.	Fungi	Ascomycota	Lecanoromycetes	Agrestia	species	вразливий
Агрестія Зерова	Agrestia zerovii S. Y. Kondr., A. B. Gromakova & Khodos.	Fungi	Ascomycota	Lecanoromycetes	Agrestia	species	рідкісний
Алекторія паросткова	Alectoria sarmentosa (Ach.) Ach.	Fungi	Ascomycota	Lecanoromycetes	Alectoria	species	вразливий
Аллоцетрарія мадрепорова	Allocetraria madreporiformis (Ach.) Karnefelt & A. Thell	Fungi	Ascomycota	Lecanoromycetes	Allocetraria	species	рідкісний
Аллоцетрарія Океза	Allocetraria oakesiana (Tuck.) Randlane & Thell	Fungi	Ascomycota	Lecanoromycetes	Allocetraria	species	рідкісний
Цірцінарія кущиста	Aspicilia fruticulosa (Eversm.) Flagey	Fungi	Ascomycota	Lecanoromycetes	Aspicilia	species	вразливий
Цірцінарія блукаюча	Circinaria fruticulosa (Eversm.) Sohrabi	Fungi	Ascomycota	Lecanoromycetes	Circinaria	species	зникаючий
Цірцінарія гірозна	Circinaria gyrosa Sohrabi, Sipman, V. John & V.J. Rico	Fungi	Ascomycota	Lecanoromycetes	Circinaria	species	вразливий
Кладонія зірчаста	Cladonia stellaris (Opiz.) Pouzar & Vezda	Fungi	Ascomycota	Lecanoromycetes	Cladonia	species	рідкісний
Доліхоуснея найдовша	Dolichousnea longissima (Ach.) Articus	Fungi	Ascomycota	Lecanoromycetes	Dolichousnea	species	вразливий
Фульгензія пустельна	Fulgensia desertorum (Tomin) Poelt	Fungi	Ascomycota	Lecanoromycetes	Fulgensia	species	зникаючий
Гіалекта геркулінська	Gyalecta herculina (Rehm) Baloch, Lumbsch & Wedin	Fungi	Ascomycota	Lecanoromycetes	Gyalecta	species	вразливий
Гіалекта стовбурова	Gyalecta truncigena (Ach.) Hepp	Fungi	Ascomycota	Lecanoromycetes	Gyalecta	species	рідкісний
Гіалекта берестова	Gyalecta ulmi (Sw.) Zahlnr. in Engler.	Fungi	Ascomycota	Lecanoromycetes	Gyalecta	species	рідкісний
Гетеродермія прекрасна	Heterodermia speciosa (Wulf.) Trev.	Fungi	Ascomycota	Lecanoromycetes	Heterodermia	species	рідкісний
Гіпотрахіна відігнута	Hypotrachina revoluta (Florke)	Fungi	Ascomycota	Lecanoromycetes	Hypotrachina	species	зникаючий
Ласалія пухирчаста	Lasallia pustulata (L.) Merat	Fungi	Ascomycota	Lecanoromycetes	Lasallia	species	рідкісний
Ласалія російська	Lasallia rossica Dombr.	Fungi	Ascomycota	Lecanoromycetes	Lasallia	species	рідкісний
Лептогіум насічений	Leptogium saturninum (Dicks.) Nyl.	Fungi	Ascomycota	Lecanoromycetes	Leptogium	species	вразливий
Летарієла переплутана	Lethariella intricata (Moris) Krog	Fungi	Ascomycota	Lecanoromycetes	Lethariella	species	зникаючий
Лобарія легеневоподібна	Lobaria pulmonaria (L.) Hoffm.	Fungi	Ascomycota	Lecanoromycetes	Lobaria	species	вразливий
Меланохалеа елегантна	Melanohalea elegantula (Zahlbr.) O. Blanco & Al.	Fungi	Ascomycota	Lecanoromycetes	Melanohalea	species	рідкісний
Нефрома рівна	Nephroma parile Ach.	Fungi	Ascomycota	Lecanoromycetes	Nephroma	species	вразливий
Нефрома загорнута	Nephroma resupinatum (L.) Ach.	Fungi	Ascomycota	Lecanoromycetes	Nephroma	species	вразливий
Паннарія шерстиста	Pannaria conoplea (Pers.) Bory	Fungi	Ascomycota	Lecanoromycetes	Pannaria	species	вразливий
Пармелієла щетинистолиста	Parmeliella triptophylla (Ach.) Mull. Arg.	Fungi	Ascomycota	Lecanoromycetes	Parmeliella	species	рідкісний
Пармотрема перлинова	Parmotrema perlatum (Huds.) M. Choisy	Fungi	Ascomycota	Lecanoromycetes	Parmotrema	species	рідкісний
Полізосія Реутера	Polyzosia reuteri (Schaer.) S.Y. Kondr., L. Lokos & Farkas	Fungi	Ascomycota	Lecanoromycetes	Polyzosia	species	рідкісний
Псора обманлива	Psora decipiens (Hedw.) Hoffm.	Fungi	Ascomycota	Lecanoromycetes	Psora	species	вразливий
Рамаліна канарська	Ramalina canariensis J. Steiner	Fungi	Ascomycota	Lecanoromycetes	Ramalina	species	рідкісний
Рамаліна рвана	Ramalina lacera (With.) J.R. Laundon	Fungi	Ascomycota	Lecanoromycetes	Ramalina	species	рідкісний
Рамаліна понтійська	Ramalina pontica Vezda	Fungi	Ascomycota	Lecanoromycetes	Ramalina	species	зникаючий
Рікасолія широка	Ricasolia amplissima (Scop.) De Not.	Fungi	Ascomycota	Lecanoromycetes	Ricasolia	species	вразливий
Русавскія долоненосна	Rusavskia digitata (S. Kondr.) S. Kondr. & Karnef.	Fungi	Ascomycota	Lecanoromycetes	Rusavskia	species	зникаючий
Сцитініум черепицеподібний	Scytinium imbricatum (P.M.Jorg.) Otalora, P.M.Jorg. & Wedin	Fungi	Ascomycota	Lecanoromycetes	Scytinium	species	вразливий
Сцитініум шредера	Scytinium schraderi (Ach.) Otalora, P.M.Jorg. & Wedin	Fungi	Ascomycota	Lecanoromycetes	Scytinium	species	вразливий
Сейрофора загадкова	Seirophora contortuplicata (Ach.) Froden	Fungi	Ascomycota	Lecanoromycetes	Seirophora	species	рідкісний
Сейрофора ямчаста	Seirophora lacunosa (Rupr) Froden	Fungi	Ascomycota	Lecanoromycetes	Seirophora	species	вразливий
Солоріна двоспорова	Solorina bispora (L.) Ach.	Fungi	Ascomycota	Lecanoromycetes	Solorina	species	вразливий
Солоріна мішкувата	Solorina saccata (L.) Ach.	Fungi	Ascomycota	Lecanoromycetes	Solorina	species	вразливий
Сквамарина щетиниста	Squamarina cartilaginea (With.) P. James	Fungi	Ascomycota	Lecanoromycetes	Squamarina	species	неоцінений
Сквамарина сочевиценосна	Squamarina lentigera (G. H. Weber) Poelt	Fungi	Ascomycota	Lecanoromycetes	Squamarina	species	вразливий
Сквамарина небезпечна	Squamarina periculosa (Duf.) Poelt	Fungi	Ascomycota	Lecanoromycetes	Squamarina	species	вразливий
Стікта закопчена	Sticta fuliginosa (Dics.) Ach.	Fungi	Ascomycota	Lecanoromycetes	Sticta	species	вразливий
Стікта лісова	Sticta sylvatica (Huds.) Ach.	Fungi	Ascomycota	Lecanoromycetes	Sticta	species	вразливий
Тамнолія щетиниста	Thamnolia vermicularis (Sw.) Axh. ex Schaerer	Fungi	Ascomycota	Lecanoromycetes	Thamnolia	species	вразливий
Торнабея щитоподібна	Tornabea scutellifera (With.) Laund.	Fungi	Ascomycota	Lecanoromycetes	Tornabea	species	рідкісний
Тукнерарія Лаурера	Tuckneraria laureri (Krempelh.) Randlane & Thell	Fungi	Ascomycota	Lecanoromycetes	Tuckneraria	species	рідкісний
Умбілікарія багатолистоподібна	Umbilicaria subpolyphylla Oxner	Fungi	Ascomycota	Lecanoromycetes	Umbilicaria	species	рідкісний
Уснея квітуча	Usnea florida (L.) Web.	Fungi	Ascomycota	Lecanoromycetes	Usnea	species	вразливий
Ксантопармелія камчадальська	Xanthoparmelia camtschadalis (Ach.) Hale	Fungi	Ascomycota	Lecanoromycetes	Xanthoparmelia	species	вразливий
Ксантопармелія грубозморшкувата	Xanthoparmelia ryssolea (Ach.) O. Blanco & Al.	Fungi	Ascomycota	Lecanoromycetes	Xanthoparmelia	species	вразливий
Ксанторія ялівцева	Xanthoria juniperina S.Y. Kondr.	Fungi	Ascomycota	Lecanoromycetes	Xanthoria	species	рідкісний
Гельвела монашка	Helvella monachella (Scop.) Fr.	Fungi	Ascomycota	Pezizomycetes	Helvella	species	вразливий
Зморшок товстоногий	Morchella crassipes (Vent.) Pers.	Fungi	Ascomycota	Pezizomycetes	Morchella	species	вразливий
Плектанія чорніюча	Plectania melastoma (Sowerby) Fuckel	Fungi	Ascomycota	Pezizomycetes	Plectania	species	вразливий
Саркосома куляста	Sarcosoma globosum (Schmidel) Rehm	Fungi	Ascomycota	Pezizomycetes	Sarcosoma	species	рідкісний
Трюфель літній	Tuber aestivum Vitt.	Fungi	Ascomycota	Pezizomycetes	Tuber	species	зникаючий
Поронія крапчаста	Poronia punctata (L.) Fr.	Fungi	Ascomycota	Sordariomycetes	Poronia	species	зникаючий
Печериця мухомороподібна	Agaricus amanitaeformis Wasser	Fungi	Basidiomycota	Agaricomycetes	Agaricus	species	зникаючий
Печериця Романьєзі	Agaricus romagnesii Wasser	Fungi	Basidiomycota	Agaricomycetes	Agaricus	species	зникаючий
Печериця таблитчаста	Agaricus tabularis Peck	Fungi	Basidiomycota	Agaricomycetes	Agaricus	species	зникаючий
Мухомор Цезаря	Amanita caesarea (Scop.) Pers.	Fungi	Basidiomycota	Agaricomycetes	Amanita	species	зникаючий
Мухомор щетинистий	Amanita solitaria (Bull.) Fr.	Fungi	Basidiomycota	Agaricomycetes	Amanita	species	зникаючий
Амилоцистіс лапландський	Amylocystis lapponica (Romell) Bondartsev & Singer	Fungi	Basidiomycota	Agaricomycetes	Amylocystis	species	зниклий
Баттаррея веселкоподібна	Battarrea phalloides (Dicks.) Pers.	Fungi	Basidiomycota	Agaricomycetes	Battarrea	species	вразливий
Боровик бронзовий	Boletus aereus Bull.	Fungi	Basidiomycota	Agaricomycetes	Boletus	species	вразливий
Порхавка болотяна	Bovista paludosa Lev.	Fungi	Basidiomycota	Agaricomycetes	Bovista	species	зникаючий
Яєшник укорінений	Butyriboletus appendiculatus (Schaeff.) D. Arora & J.L. Frank	Fungi	Basidiomycota	Agaricomycetes	Butyriboletus	species	вразливий
Яєшник Фехтнера	Butyriboletus fechtneri (Velen.) Arora & J.L. Frank	Fungi	Basidiomycota	Agaricomycetes	Butyriboletus	species	зникаючий
Яєшник темно-рожевий	Butyriboletus fuscoroseus (Smotl.) Vizzini & Gelardi	Fungi	Basidiomycota	Agaricomycetes	Butyriboletus	species	зникаючий
Яєшник королівський	Butyriboletus regius (Krombh.) D. Arora & J.L. Frank	Fungi	Basidiomycota	Agaricomycetes	Butyriboletus	species	зникаючий
Яєшник гірський	Butyriboletus subappendiculatus (Dermek, Lazebn. & J.Veselsky) D.Arora & J.L.Frank	Fungi	Basidiomycota	Agaricomycetes	Butyriboletus	species	зникаючий
Катателазма царська	Catathelasma imperiale (Fr.) Sing.	Fungi	Basidiomycota	Agaricomycetes	Catathelasma	species	рідкісний
Клаваріадельф товкачиковий	Clavariadelphus pistillaris (Fr.) Donk	Fungi	Basidiomycota	Agaricomycetes	Clavariadelphus	species	рідкісний
Крепідот македонський	Crepidotus macedonicus Pilat	Fungi	Basidiomycota	Agaricomycetes	Crepidotus	species	вразливий
Флокулярія Рікена	Floccularia rickenii (Bohus) Wasser	Fungi	Basidiomycota	Agaricomycetes	Floccularia	species	вразливий
Гомф булавоподібний	Gomphus clavatus (Pers.) Gray	Fungi	Basidiomycota	Agaricomycetes	Gomphus	species	зникаючий
Грифола листувата	Grifola frondosa (Dicks.) Gray	Fungi	Basidiomycota	Agaricomycetes	Grifola	species	вразливий
Напівборовик ямчастий	Hemileccinum depilatum (Redeuilh) Sutara	Fungi	Basidiomycota	Agaricomycetes	Hemileccinum	species	вразливий
Герицій коралоподібний	Hericium coralloides (Fr.) Gray	Fungi	Basidiomycota	Agaricomycetes	Hericium	species	вразливий
Герицій їжаковий	Hericium erinaceum (Fr.) Pers.	Fungi	Basidiomycota	Agaricomycetes	Hericium	species	зникаючий
Кавінія біло-зелена	Kavinia alboviridis (Morgan) Gilb. & Budington	Fungi	Basidiomycota	Agaricomycetes	Kavinia	species	вразливий
Хрящ-молочник золотисто-жовтий	Lactarius chrysorrheus Fr.	Fungi	Basidiomycota	Agaricomycetes	Lactarius	species	вразливий
Хрящ-молочник чорний	Lactarius lignyotus Fr.	Fungi	Basidiomycota	Agaricomycetes	Lactarius	species	рідкісний
Хрящ-молочник криваво-червоний	Lactarius sanguifluus (Paulet) Fr.	Fungi	Basidiomycota	Agaricomycetes	Lactarius	species	вразливий
Білопечериця довгокоренева	Leucoagaricus macrorhizus Locq. ex Horak	Fungi	Basidiomycota	Agaricomycetes	Leucoagaricus	species	зникаючий
Білопечериця Мозера	Leucoagaricus moseri (Wasser) Wasser	Fungi	Basidiomycota	Agaricomycetes	Leucoagaricus	species	рідкісний
Білопечериця дівоча	Leucoagaricus nympharum (Kalchbr.) Bon	Fungi	Basidiomycota	Agaricomycetes	Leucoagaricus	species	рідкісний
Білогнойовик Богуша	Leucocoprinus bohusii Wasser	Fungi	Basidiomycota	Agaricomycetes	Leucocoprinus	species	зникаючий
Білопавутинник бульбистий	Leucocortinarius bulbiger (Alb. & Schwein.) Singer	Fungi	Basidiomycota	Agaricomycetes	Leucocortinarius	species	рідкісний
Ліхеномфалія Гудсонова	Lichenomphalia hudsoniana (H.S. Jenn) Redhead, Lutzoni, Moncalvo & Vilgalys	Fungi	Basidiomycota	Agaricomycetes	Lichenomphalia	species	рідкісний
Лімацела степова	Limacella steppicola Zerova & S. Wasser	Fungi	Basidiomycota	Agaricomycetes	Limacella	species	недостатньо відомий
Дощовик соскоподібний	Lycoperdon mammaeforme Pers.	Fungi	Basidiomycota	Agaricomycetes	Lycoperdon	species	вразливий
Ліофіл Фавре	Lyophyllum favrei R. Haller Aar. & R. Haller Suhr	Fungi	Basidiomycota	Agaricomycetes	Lyophyllum	species	зникаючий
Монтанея промениста	Montagnea radiosa (Pall.) Sebek	Fungi	Basidiomycota	Agaricomycetes	Montagnea	species	вразливий
Мутин собачий	Mutinus caninus (Huds.) Fr.	Fungi	Basidiomycota	Agaricomycetes	Mutinus	species	рідкісний
Міріостома шийкова	Myriostoma coliforme (Dicks.) Corda	Fungi	Basidiomycota	Agaricomycetes	Myriostoma	species	рідкісний
Мітікоміцес рогоніжковий	Mythicomyces corneipes (Fr.) Redhead & A.H. Sm.	Fungi	Basidiomycota	Agaricomycetes	Mythicomyces	species	вразливий
Панеол пустельний	Panaeolus desertorum (Velen. & Dvorak) E.F. Malysheva, G. Moreno, Svetash. & M. Villarreal	Fungi	Basidiomycota	Agaricomycetes	Panaeolus	species	зникаючий
Свинуха Зерової	Paxillus zerovae Wasser	Fungi	Basidiomycota	Agaricomycetes	Paxillus	species	зникаючий
Феолепіота золотиста	Phaeolepiota aurea (Matt.) Maire	Fungi	Basidiomycota	Agaricomycetes	Phaeolepiota	species	вразливий
Феллінідіум іржаво-бурий	Phellinidium ferrugineofuscum (P.Karst.) Fiasson & Niemela	Fungi	Basidiomycota	Agaricomycetes	Phellinidium	species	вразливий
Фелоринія Геркулесова	Phellorinia herculeana (Pers.) Kreisel	Fungi	Basidiomycota	Agaricomycetes	Phellorinia	species	зниклий
Філопор рожево-золотистий	Phylloporus pelletieri (Lev.) Quel.	Fungi	Basidiomycota	Agaricomycetes	Phylloporus	species	зникаючий
Смолоніг коренелюбний	Picipes rhizophilus (Pat.) J.L. Zhou & B.K. Cui	Fungi	Basidiomycota	Agaricomycetes	Picipes	species	рідкісний
Пізоліт безкореневий	Pisolithus arhizus (Scop.) Rauschert	Fungi	Basidiomycota	Agaricomycetes	Pisolithus	species	рідкісний
Трутовик зонтичний	Polyporus umbellatus (Pers.) Fr.	Fungi	Basidiomycota	Agaricomycetes	Polyporus	species	рідкісний
Порполомопсис ковпакоподібний	Porpolomopsis calyptriformis (Berk.) Bresinsky	Fungi	Basidiomycota	Agaricomycetes	Porpolomopsis	species	рідкісний
Псевдомоховик паразитний	Pseudoboletus parasiticus (Bull.) Sutara	Fungi	Basidiomycota	Agaricomycetes	Pseudoboletus	species	вразливий
Рубіномоховик карміново-червоний	Rubinoboletus rubinus (W.G.Sm.) Pilat & Dermek	Fungi	Basidiomycota	Agaricomycetes	Rubinoboletus	species	зникаючий
Червоноборовик вовчий	Rubroboletus lupinus (Fr.) Costanzo, Gelardi, Simonini & Vizzini	Fungi	Basidiomycota	Agaricomycetes	Rubroboletus	species	вразливий
Червоноборовик чортів	Rubroboletus satanas (Lenz) Kuan Zhao & Zhu L. Yang	Fungi	Basidiomycota	Agaricomycetes	Rubroboletus	species	зникаючий
Сироїжка синювата	Russula turci Bres.	Fungi	Basidiomycota	Agaricomycetes	Russula	species	вразливий
Твердошкір багатокореневий	Scleroderma polyrhizum (J.F. Gmel.) Pers.	Fungi	Basidiomycota	Agaricomycetes	Scleroderma	species	недостатньо відомий
Листочня кучерява	Sparassis crispa (Wulfen) Fr.	Fungi	Basidiomycota	Agaricomycetes	Sparassis	species	зникаючий
Шишкогриб лускатий	Strobilomyces strobilaceus (Scop.) Berk.	Fungi	Basidiomycota	Agaricomycetes	Strobilomyces	species	вразливий
Піддубник рожево-золотистий	Suillellus rhodoxanthus (Krombh.) Blanco-Dios	Fungi	Basidiomycota	Agaricomycetes	Suillellus	species	зникаючий
Піддубник криваво-червоний	Suillellus rubrosanguineus (Cheype) Blanco-Dios	Fungi	Basidiomycota	Agaricomycetes	Suillellus	species	зникаючий
Маслюк плакучий	Suillus plorans (Rolland) Kuntze	Fungi	Basidiomycota	Agaricomycetes	Suillus	species	вразливий
Рядовка величезна	Tricholoma colossus (Fr.) Quel.	Fungi	Basidiomycota	Agaricomycetes	Tricholoma	species	рідкісний
Рядовка опенькоподібна	Tricholoma focale (Fr.) Ricken	Fungi	Basidiomycota	Agaricomycetes	Tricholoma	species	вразливий
Анакамтодон сплахноподібний	Anacamptodon splachnoides (Froel. ex Brid.) Brid.	Plantae	Bryophyta	Bryopsida	Anacamptodon	species	вразливий
Анектангій Ганделя	Anoectangium handelii Schiffn.	Plantae	Bryophyta	Bryopsida	Anoectangium	species	рідкісний
Кампілостелій скельний	Campylostelium saxicola (F.Weber & D.Mohr) Bruch & Schimp.	Plantae	Bryophyta	Bryopsida	Campylostelium	species	рідкісний
Цинклідот водяний	Cinclidotus aquaticus (Hedw.) Bruch & Schimp.	Plantae	Bryophyta	Bryopsida	Cinclidotus	species	рідкісний
Конардія компактна	Conardia compacta (Drumm. Ex Mull.Hal.) H.Rob.	Plantae	Bryophyta	Bryopsida	Conardia	species	рідкісний
Дикранодонцій шорсткий	Dicranodontium asperulum (Mitt.) Broth.	Plantae	Bryophyta	Bryopsida	Dicranodontium	species	рідкісний
Фісиденс джерельний	Fissidens fontanus (Bach.Pyl.) Steud.	Plantae	Bryophyta	Bryopsida	Fissidens	species	рідкісний
Фісиденс струмковий	Fissidens rivularis (Spruce) Schimp.	Plantae	Bryophyta	Bryopsida	Fissidens	species	рідкісний
Фісиденс рудуватий	Fissidens rufulus Bruch & Schimp.	Plantae	Bryophyta	Bryopsida	Fissidens	species	рідкісний
Гелодій Бландова	Helodium blandowii (F.Weber & D.Mohr) Warnst.	Plantae	Bryophyta	Bryopsida	Helodium	species	вразливий
Генедієла Гайма	Hennediella heimii (Hedw.) R.H.Zander	Plantae	Bryophyta	Bryopsida	Hennediella	species	рідкісний
Гетерофіл споріднений	Heterophyllium affine (Hook.) M.Fleisch.	Plantae	Bryophyta	Bryopsida	Heterophyllium	species	рідкісний
Гукерія блискуча	Hookeria lucens (Hedw.) Sm.	Plantae	Bryophyta	Bryopsida	Hookeria	species	рідкісний
Лазаренкія Козлова	Lazarenkia kozlovii (Laz.) Boiko	Plantae	Bryophyta	Bryopsida	Lazarenkia	species	рідкісний
Лекерея складчаста	Lescuraea plicata (Schleich. ex F.Weber & D.Mohr)	Plantae	Bryophyta	Bryopsida	Lescuraea	species	рідкісний
Меезія довгоніжкова	Meesia longiseta Hedw.	Plantae	Bryophyta	Bryopsida	Meesia	species	зниклий
Меезія тригранна	Meesia triquetra (L. ex Jolycl.) Angstr.	Plantae	Bryophyta	Bryopsida	Meesia	species	зникаючий
Меезія багнова	Meesia uliginosa Hedw.	Plantae	Bryophyta	Bryopsida	Meesia	species	вразливий
Некера Мензіса	Neckera menziesii Drumm.	Plantae	Bryophyta	Bryopsida	Neckera	species	рідкісний
Ногоптеріум граціозний	Nogopterium gracile (Hedw.) Crosby & W.R. Buck	Plantae	Bryophyta	Bryopsida	Nogopterium	species	рідкісний
Ортотецій рудуватий	Orthothecium rufescens (Dicks. ex Brid.) Schimp.	Plantae	Bryophyta	Bryopsida	Orthothecium	species	рідкісний
